BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.19138,-1.1491,-0.973266,-0.435734,-2.62211,-1.40726,-6.61498,0.038866,0.0711894,0.104308,6.60271,0.198834,0.140795,70000,56
-2.42552,-1.18986,-1.03468,-0.356131,-2.47253,-1.32747,-6.3723,0.0432841,0.0736878,0.072817,6.6708,0.202193,0.139957,71000,57
-2.2049,-1.12588,-0.959199,-0.436829,-2.59468,-1.33849,-6.59029,0.0386125,0.0721895,0.0894461,6.64891,0.201397,0.14126,72000,58
-2.18749,-1.08376,-0.887908,-0.538189,-2.63862,-1.43812,-6.16602,0.0419747,0.0722709,0.0714595,6.66995,0.203051,0.14012,73000,59
-2.25236,-1.10219,-0.896854,-0.447678,-2.64305,-1.43036,-5.63599,0.0303892,0.078733,0.0822035,6.62114,0.201953,0.139185,74000,61
-2.21842,-1.07279,-0.913077,-0.487076,-2.70328,-1.40743,-5.65997,0.0398365,0.0700938,0.0793066,6.729,0.20232,0.141925,75000,62
-2.22339,-1.07033,-0.930673,-0.559203,-2.57992,-1.48001,-5.80167,0.0397288,0.0746743,0.0896249,6.62763,0.202478,0.140756,76000,63
-2.29661,-1.26163,-1.10987,-0.322234,-2.29257,-1.35234,-5.64739,0.0323272,0.0670933,0.0907085,6.75589,0.201521,0.141928,77000,63
-2.27739,-1.28084,-1.0526,-0.36081,-2.31398,-1.29872,-5.15005,0.0371567,0.0703825,0.0812226,6.63358,0.200408,0.142243,78000,64
-2.39962,-1.36299,-1.18322,-0.329156,-2.05066,-1.32952,-5.05495,0.0353802,0.0762321,0.0744083,6.70516,0.200091,0.143685,79000,65
-2.2896,-1.24523,-1.03659,-0.280866,-2.379,-1.28619,-5.27371,0.0307981,0.0774599,0.0722972,6.7536,0.203427,0.140897,80000,66
-2.4028,-1.14256,-0.972824,-0.462492,-2.56791,-1.38076,-4.9382,0.0444995,0.0699756,0.0954549,6.73527,0.199931,0.140772,81000,67
-2.27985,-1.10636,-0.891959,-0.340114,-2.71937,-1.35461,-5.02837,0.0368049,0.0757704,0.0701781,6.73241,0.200893,0.140362,82000,68
-2.37733,-1.3634,-1.19021,-0.259277,-2.12787,-1.2978,-5.20231,0.0352244,0.0767478,0.0799464,6.7368,0.202255,0.141496,83000,68
-2.33987,-1.29253,-1.09277,-0.277068,-2.31989,-1.33081,-5.42144,0.0340364,0.0750158,0.0735223,6.69245,0.204139,0.140088,84000,69
-2.43941,-1.30034,-1.10106,-0.302491,-2.25786,-1.38548,-5.86885,0.0398216,0.0671255,0.08455,6.72498,0.200842,0.13781,85000,70
-2.51223,-1.49517,-1.25658,-0.154215,-1.93546,-1.28051,-6.09371,0.0303213,0.0755717,0.058583,6.58568,0.202303,0.139887,86000,71
-2.3835,-1.40942,-1.19754,-0.301435,-1.95902,-1.35168,-5.77901,0.0325898,0.0757655,0.0566735,6.74971,0.201815,0.138571,87000,72
-2.47662,-1.25732,-1.15136,-0.518332,-2.01977,-1.4479,-5.56081,0.0388199,0.0743886,0.084826,6.69761,0.20193,0.138458,88000,73
-2.56943,-1.39644,-1.18046,-0.263099,-2.07039,-1.32976,-5.54924,0.0329096,0.0767513,0.0785729,6.62519,0.19778,0.138648,89000,73
-2.51721,-1.35704,-1.19339,-0.414982,-1.8988,-1.39464,-5.14098,0.0367585,0.072068,0.0800194,6.71106,0.198348,0.139369,90000,74
-2.51908,-1.54372,-1.32518,-0.192749,-1.77577,-1.30048,-5.23676,0.0412167,0.0586386,0.0986939,6.63708,0.198557,0.138547,91000,75
-2.4156,-1.51503,-1.30803,-0.188042,-1.85792,-1.28372,-4.95104,0.0310275,0.0723635,0.0792681,6.70927,0.198765,0.138867,92000,76
-2.43458,-1.47213,-1.27434,-0.274014,-1.88376,-1.29331,-4.72723,0.0353398,0.0683334,0.0830346,6.64249,0.200804,0.139438,93000,77
-2.46913,-1.37419,-1.16239,-0.252713,-2.11299,-1.31813,-4.24687,0.0313062,0.0832273,0.0759789,6.69677,0.200154,0.138819,94000,78
-2.43038,-1.44449,-1.28189,-0.228635,-1.91853,-1.26039,-3.89365,0.033043,0.0769219,0.0692649,6.70138,0.199522,0.139988,95000,78
-2.46971,-1.29675,-1.16323,-0.36002,-2.16685,-1.33646,-3.50136,0.0290385,0.0878029,0.0837798,6.61756,0.201043,0.139211,96000,79
-2.37291,-1.1136,-0.895919,-0.396903,-2.64556,-1.45029,-3.00151,0.0323188,0.0775628,0.0736788,6.69234,0.198614,0.140225,97000,80
-2.25464,-1.02845,-0.798372,-0.521232,-2.81854,-1.49373,-3.00555,0.0356083,0.0801125,0.0605238,6.77062,0.200375,0.137706,98000,81
-2.32172,-1.16836,-0.980142,-0.422731,-2.50073,-1.39649,-2.74804,0.0308991,0.0809398,0.0645482,6.69897,0.199931,0.138402,99000,82
-2.39971,-1.40295,-1.20489,-0.265356,-2.03328,-1.29375,-2.99061,0.0265846,0.0817462,0.0653106,6.61084,0.198658,0.139178,100000,83
-2.4172,-1.50765,-1.26273,-0.197921,-1.89357,-1.26795,-2.56818,0.0404225,0.0542669,0.0769821,6.69971,0.197092,0.140536,101000,83
-2.54841,-1.53682,-1.31912,-0.172908,-1.82064,-1.295,-2.59848,0.045907,0.0573074,0.0832523,6.6063,0.197006,0.13853,102000,84
-2.38394,-1.45918,-1.27266,-0.183292,-1.97308,-1.23768,-2.43318,0.0360287,0.0714173,0.0682702,6.66485,0.197312,0.140783,103000,85
-2.49019,-1.3545,-1.16351,-0.338188,-2.05319,-1.32921,-2.80827,0.0386366,0.0695284,0.0802673,6.59915,0.202363,0.140412,104000,86
-2.29988,-1.21479,-1.01815,-0.269206,-2.48084,-1.34144,-2.91095,0.0341342,0.0773498,0.0715514,6.74776,0.197578,0.140824,105000,87
