BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-1.72104,-0.997529,-0.846654,-0.669073,-1.87278,-0.875185,0.0746829,6.67762,0.214896,0.16338,81000,74
-1.78227,-1.03354,-0.820319,-0.575947,-2.01285,-0.771488,0.0825491,6.6606,0.212767,0.163613,82000,75
-1.68077,-0.790347,-0.643717,-0.732018,-2.4153,-0.847154,0.0878037,6.64737,0.214519,0.16227,83000,77
-1.61035,-0.846334,-0.723079,-0.747927,-2.2103,-0.86332,0.0783965,6.70772,0.209931,0.163938,84000,78
-1.45897,-0.683441,-0.507862,-0.74281,-2.64378,-0.904016,0.0721639,6.64957,0.211619,0.162674,85000,79
-1.53522,-0.806234,-0.659887,-0.683389,-2.33882,-0.907118,0.0714447,6.75939,0.212504,0.163445,86000,80
-1.67221,-0.792419,-0.634674,-0.789246,-2.29525,-0.946196,0.0787712,6.62882,0.209547,0.164061,87000,81
-1.57752,-0.750893,-0.614652,-0.697915,-2.4606,-0.989102,0.0751351,6.66284,0.211326,0.160801,88000,82
-1.75217,-0.783764,-0.672409,-0.724977,-2.30921,-0.964484,0.0852159,6.70172,0.210443,0.162138,89000,83
-1.74238,-0.829034,-0.708434,-0.680578,-2.28899,-0.935967,0.0828888,6.61172,0.208277,0.159693,90000,84
-1.88431,-1.10322,-0.982928,-0.579294,-1.68877,-0.819092,0.0781333,6.70697,0.209185,0.162593,91000,84
-1.92024,-1.3317,-1.17185,-0.369637,-1.31829,-0.699571,0.0690932,6.70177,0.21077,0.160992,92000,85
-1.93551,-1.05366,-0.920912,-0.623531,-1.7298,-0.805871,0.0751786,6.64402,0.210343,0.162568,93000,86
-1.99867,-1.22557,-1.03248,-0.4734,-1.55175,-0.759891,0.0751504,6.70946,0.209467,0.161075,94000,87
-2.00046,-1.26727,-1.12156,-0.346914,-1.50858,-0.710626,0.0775778,6.71782,0.209004,0.164476,95000,88
