BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-2.46409,-1.98683,-1.8403,0.0177491,0.0483583,0.000159042,6.62157,0.214488,0.169028,73000,54
-2.492,-1.99857,-1.8495,0.0177568,0.0476972,0.000995425,6.76296,0.215387,0.166964,74000,55
-2.41581,-2.01389,-1.85359,0.0160128,0.0499928,0.0014371,6.6532,0.214534,0.162783,75000,56
-2.45802,-2.00439,-1.82985,0.0215596,0.0386151,0.00139593,6.649,0.214036,0.166965,76000,57
-2.45888,-1.99463,-1.81687,0.0176601,0.0427443,0.00221604,6.65744,0.215039,0.166742,77000,57
-2.52059,-2.00183,-1.83804,0.0260018,0.0417672,0.000664689,6.68511,0.212001,0.163308,78000,58
-2.57498,-2.01913,-1.85554,0.019223,0.0538368,0.00236109,6.76592,0.213564,0.16455,79000,59
-2.4273,-1.94685,-1.83172,0.019156,0.0433558,0.00114474,6.5629,0.208443,0.165473,80000,60
-2.45248,-2.00233,-1.85644,0.0147479,0.0504453,0.00115434,6.6066,0.21242,0.163657,81000,60
-2.4363,-2.01894,-1.86497,0.0195772,0.0408501,0.000414023,6.65937,0.213918,0.164993,82000,61
-2.48747,-2.03036,-1.84661,0.0214062,0.0424076,0.000310491,6.70932,0.21043,0.164369,83000,62
-2.46701,-2.00459,-1.88829,0.0168537,0.0440275,0.00212556,6.82288,0.209416,0.166328,84000,62
-2.39681,-1.95944,-1.85115,0.0157481,0.0496594,0.000282319,6.68318,0.210822,0.165413,85000,63
-2.49682,-1.99257,-1.83626,0.0199399,0.047583,0.000653335,6.57067,0.209368,0.165274,86000,64
-2.42178,-2.00009,-1.87398,0.0157902,0.041403,0.00132329,6.51564,0.210458,0.163141,87000,65
-2.46122,-2.0119,-1.86523,0.0165797,0.0431735,0.000918441,6.64537,0.209602,0.161327,88000,65
-2.46005,-2.00084,-1.85155,0.017942,0.0417295,0.000471511,6.69379,0.21352,0.165791,89000,66
-2.40531,-2.00115,-1.8451,0.0136813,0.0487626,0.000343911,6.80333,0.208502,0.165426,90000,67
-2.541,-1.98913,-1.84685,0.0219777,0.0416997,0.00110826,6.59279,0.210285,0.165864,91000,68
-2.41953,-2.00035,-1.87486,0.0146929,0.0467836,0.000678435,6.68756,0.211929,0.16319,92000,68
-2.46526,-2.0204,-1.84042,0.0129142,0.0472728,0.00057393,6.59361,0.212503,0.16169,93000,69
-2.51709,-1.99875,-1.84273,0.0155614,0.0484018,0.00182195,6.75286,0.21139,0.163663,94000,70
-2.38143,-2.00116,-1.85949,0.0145143,0.0478483,0.00220396,6.66891,0.206945,0.163962,95000,70
-2.45431,-2.05292,-1.86298,0.0180934,0.0465751,0.00150214,6.58108,0.211071,0.163357,96000,71
-2.36609,-2.04576,-1.87415,0.015746,0.0365614,0.000415394,6.67387,0.208692,0.158965,97000,72
-2.46153,-2.00703,-1.89577,0.0118923,0.0487395,0.00315996,6.73453,0.207648,0.161711,98000,73
-2.43935,-2.02606,-1.86748,0.0154881,0.0516618,0.00150729,6.56546,0.211659,0.162078,99000,73
-2.41843,-2.03322,-1.88279,0.0192049,0.0422657,0.00184994,6.69623,0.209413,0.163524,100000,74
-2.41693,-2.05441,-1.86359,0.0132447,0.0448658,0.00106472,6.55244,0.207711,0.159568,101000,75
-2.49228,-2.00195,-1.88321,0.023502,0.0352891,6.69418e-05,6.54568,0.208464,0.161836,102000,76
-2.47136,-2.01912,-1.85313,0.0180212,0.0439348,0.00149097,6.72345,0.208776,0.162126,103000,76
-2.4085,-2.02222,-1.88944,0.0165181,0.0407673,0.00344791,6.71019,0.208284,0.161144,104000,77
-2.44298,-2.04107,-1.8759,0.0133258,0.0375909,0.000518544,6.6962,0.205777,0.158286,105000,78
-2.4813,-2.05664,-1.88042,0.0174775,0.0378352,0.00292273,6.66095,0.211623,0.162053,106000,79
-2.513,-2.01745,-1.88166,0.0250617,0.0321221,0.00313363,6.62379,0.210635,0.161314,107000,79
-2.51041,-2.03748,-1.86923,0.0206088,0.0417687,8.086e-05,6.68498,0.205624,0.161765,108000,80
-2.43633,-2.02869,-1.89053,0.0169527,0.0457944,0.000157741,6.69418,0.208034,0.158772,109000,81
-2.35942,-2.04478,-1.89109,0.018988,0.039907,0.000616814,6.73184,0.207752,0.157248,110000,81
-2.46786,-2.05158,-1.88649,0.0237033,0.0342648,0.00531503,6.59367,0.208472,0.158843,111000,82
-2.45509,-2.04786,-1.92049,0.0179999,0.0409019,0.00110882,6.55271,0.206082,0.15903,112000,83
-2.42249,-2.03155,-1.89731,0.0177708,0.0415493,0.00175157,6.667,0.206502,0.15993,113000,84
-2.49871,-2.01801,-1.8982,0.0220284,0.0421529,0.00396266,6.55287,0.208446,0.160314,114000,84
-2.53727,-2.01951,-1.91431,0.0265704,0.0385639,0.000493799,6.64181,0.207566,0.16138,115000,85
-2.42114,-2.04298,-1.91296,0.0149417,0.0437893,2.75076e-05,6.67691,0.204465,0.159935,116000,86
-2.50872,-2.02339,-1.89999,0.0235718,0.0407418,3.30245e-05,6.62929,0.208861,0.159483,117000,87
-2.48694,-2.01907,-1.90846,0.0180301,0.0482942,0.000440176,6.65976,0.207123,0.158361,118000,87
-2.45716,-2.04143,-1.90756,0.0204004,0.0458908,0.00516957,6.70455,0.204161,0.162353,119000,88
-2.55362,-2.04858,-1.90438,0.0233204,0.0442333,0.000213026,6.64798,0.203799,0.160095,120000,99
-2.55302,-2.04608,-1.85234,0.0200399,0.0469267,0.000944876,6.61774,0.200248,0.155659,121000,101
-2.40908,-2.01371,-1.91151,0.0108212,0.0548715,0.00127566,6.67815,0.200406,0.158995,122000,103
-2.48725,-2.02953,-1.91328,0.0172212,0.0448534,0.000258564,6.64662,0.208102,0.15616,123000,105
-2.41108,-2.06793,-1.89888,0.00995493,0.0543652,0.000363013,6.67407,0.206706,0.157615,124000,107
-2.46237,-2.06087,-1.88615,0.0132472,0.0463004,0.00289697,6.65623,0.200275,0.156628,125000,109
-2.36589,-2.05298,-1.91313,0.00749655,0.0549555,0.00285186,6.657,0.207392,0.158475,126000,111
-2.45351,-2.05812,-1.87651,0.0100858,0.0507383,0.00166891,6.69889,0.202576,0.153206,127000,113
-2.48872,-2.05712,-1.88125,0.0145935,0.0539406,0.000390898,6.70803,0.204106,0.15664,128000,115
-2.54767,-2.05095,-1.90924,0.0171583,0.048807,0.00310233,6.77294,0.202345,0.154445,129000,117
-2.49361,-2.06552,-1.90549,0.0191389,0.0509824,0.00335691,6.70327,0.202517,0.156708,130000,119
-2.52997,-2.05806,-1.91024,0.0147894,0.0561282,0.00157401,6.54513,0.203776,0.15489,131000,122
-2.43071,-2.03331,-1.92197,0.0158122,0.0474556,0.000203464,6.72759,0.203659,0.155224,132000,124
-2.45307,-2.05785,-1.91809,0.0166608,0.0495857,0.000727572,6.56405,0.202476,0.154823,133000,126
-2.43544,-2.0349,-1.89139,0.0122308,0.0493522,0.00189968,6.67875,0.202777,0.157414,134000,128
-2.55299,-2.06554,-1.9008,0.0146297,0.0572848,0.00570342,6.73486,0.203308,0.154426,135000,130
-2.41002,-2.04296,-1.89432,0.0159239,0.0459981,0.000718173,6.72574,0.205682,0.155621,136000,132
-2.46054,-2.05628,-1.91697,0.0131067,0.0528897,0.00070538,6.61693,0.204531,0.157384,137000,134
-2.55427,-2.05371,-1.92568,0.0134935,0.0531831,0.00144524,6.66705,0.205563,0.15372,138000,136
-2.41042,-2.06693,-1.90933,0.0126939,0.040466,0.000699367,6.70715,0.205664,0.15304,139000,138
-2.40482,-2.05824,-1.89327,0.0094344,0.0549677,0.00164968,6.63499,0.207801,0.155548,140000,140
-2.41226,-2.07217,-1.87207,0.0138745,0.0386766,0.000757018,6.6486,0.206107,0.154981,141000,142
-2.44589,-2.07182,-1.88279,0.0140374,0.0491619,0.00319102,6.65424,0.204553,0.15628,142000,144
-2.43631,-2.08782,-1.89604,0.0194288,0.0373526,0.000815491,6.57568,0.204704,0.152704,143000,146
-2.46755,-2.06495,-1.90394,0.0179057,0.0416542,0.000195976,6.72699,0.203919,0.152394,144000,148
-2.48663,-2.08553,-1.92127,0.0143829,0.0474531,0.00136819,6.73174,0.201553,0.153387,145000,150
-2.47484,-2.06232,-1.88843,0.0127985,0.0549529,0.000901502,6.80238,0.20432,0.153819,146000,152
-2.46385,-2.08512,-1.92895,0.0111511,0.0521458,0.00232254,6.65628,0.203286,0.152494,147000,154
-2.41874,-2.05608,-1.91018,0.0119389,0.046465,0.000232198,6.70294,0.205696,0.154115,148000,157
-2.5177,-2.06035,-1.88101,0.0142964,0.0397202,0.0020962,6.76079,0.204585,0.155641,149000,159
-2.46385,-2.06639,-1.89383,0.0137857,0.0408026,0.00162496,6.59686,0.204355,0.156395,150000,161
-2.50364,-2.07138,-1.91056,0.0178687,0.0463803,0.000537851,6.7735,0.203028,0.153215,151000,163
-2.48952,-2.04354,-1.90199,0.0139445,0.0506329,0.000261358,6.59706,0.203632,0.15409,152000,165
-2.47285,-2.07667,-1.89649,0.0142163,0.048182,0.00330711,6.6221,0.202987,0.155434,153000,167
-2.54328,-2.0861,-1.91362,0.0185044,0.0510145,0.00202071,6.56148,0.205756,0.153945,154000,169
-2.48271,-2.0551,-1.93773,0.0179154,0.0480507,0.00310119,6.7706,0.204523,0.154545,155000,171
-2.65697,-2.06399,-1.91748,0.0218232,0.0475737,0.00044258,6.71242,0.203273,0.153809,156000,173
-2.5227,-2.05414,-1.88042,0.0184704,0.039801,0.000856781,6.71558,0.203862,0.15412,157000,175
-2.50104,-2.04473,-1.9053,0.0180033,0.0531918,0.000164302,6.68093,0.200664,0.156057,158000,177
-2.37997,-2.03137,-1.89254,0.0102904,0.0488641,0.000532465,6.6429,0.203795,0.15533,159000,179
-2.48509,-2.06507,-1.90771,0.0110312,0.0535716,0.000274722,6.77982,0.201975,0.155916,160000,181
-2.51233,-2.05565,-1.92945,0.0140728,0.0521791,0.00112009,6.61492,0.200346,0.154569,161000,183
-2.51397,-2.07523,-1.8893,0.0138448,0.0466902,0.000705333,6.68146,0.202817,0.154502,162000,185
-2.56972,-2.07914,-1.92808,0.018174,0.0413594,0.000606745,6.7646,0.201294,0.150595,163000,187
