BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-1.67017,-1.10514,-0.937574,-0.620038,-0.851989,-0.684627,-1.49515,-0.87871,0.0599668,6.68258,0.219922,0.165938,60000,69
-1.71098,-1.22219,-1.02399,-0.58592,-0.749781,-0.625411,-1.43224,-0.816321,0.0584555,6.71661,0.215652,0.164762,61000,70
-1.66769,-1.08763,-0.915496,-0.530037,-0.890761,-0.635217,-1.78818,-0.802203,0.0560254,6.61855,0.217964,0.165427,62000,71
-1.67762,-1.02567,-0.839513,-0.734603,-1.02931,-0.745422,-1.81419,-0.914512,0.0709977,6.61787,0.215133,0.165339,63000,72
-1.68417,-1.04463,-0.879565,-0.643241,-0.991219,-0.748227,-1.7042,-0.886602,0.0644583,6.69581,0.21631,0.165388,64000,73
-1.76564,-1.21659,-1.01693,-0.526239,-0.796312,-0.574128,-1.48911,-0.883199,0.0629966,6.76871,0.216306,0.163812,65000,73
-1.79696,-1.35448,-1.15799,-0.325282,-0.647566,-0.411431,-1.32748,-0.67932,0.0554814,6.69322,0.217168,0.166822,66000,75
-1.91882,-1.45614,-1.31014,-0.201922,-0.567173,-0.338502,-1.12855,-0.692676,0.0588586,6.52956,0.218551,0.163195,67000,76
-1.87992,-1.37696,-1.21583,-0.200068,-0.635533,-0.445849,-1.26579,-0.688992,0.0618992,6.69922,0.214306,0.164521,68000,77
-1.78845,-1.27064,-1.10972,-0.304367,-0.850692,-0.48719,-1.44591,-0.829817,0.0610961,6.52854,0.21577,0.163043,69000,78
-1.85862,-1.25953,-1.09243,-0.387568,-0.772159,-0.49693,-1.41252,-0.866572,0.064711,6.71411,0.217488,0.163585,70000,79
-1.74894,-1.23068,-1.10674,-0.291248,-0.826768,-0.460205,-1.50479,-0.833602,0.0617101,6.63977,0.216193,0.164776,71000,80
-1.89113,-1.33536,-1.15654,-0.29402,-0.693548,-0.403986,-1.35512,-0.783425,0.0608258,6.69574,0.214225,0.165836,72000,81
-1.78422,-1.22615,-1.08373,-0.251176,-0.894988,-0.435607,-1.70136,-0.757297,0.0619792,6.60957,0.216008,0.163319,73000,82
-1.87386,-1.20086,-1.00359,-0.505312,-0.806752,-0.627695,-1.59025,-0.82827,0.070936,6.69015,0.217696,0.163344,74000,83
-1.90842,-1.18225,-1.01506,-0.553239,-0.873685,-0.631312,-1.40107,-1.06087,0.0706073,6.80169,0.214569,0.162614,75000,84
-1.90694,-1.18192,-1.02186,-0.283585,-0.949295,-0.509353,-1.6335,-0.934435,0.0719194,6.68409,0.214117,0.163342,76000,85
-1.78012,-1.18603,-1.03101,-0.398479,-0.846302,-0.524512,-1.58052,-0.974024,0.0626266,6.66448,0.212428,0.164322,77000,86
