BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-1.94795,-1.12614,-0.924422,-0.497063,-1.58218,-0.851081,0.0172159,0.0745746,0.00265435,6.66373,0.215743,0.167851,63000,68
-1.87049,-1.06166,-0.876398,-0.522661,-1.6768,-0.800997,0.0253568,0.0577812,0.0022193,6.61122,0.216222,0.169066,64000,69
-1.74142,-0.998733,-0.819975,-0.51713,-1.8792,-0.788302,0.0203809,0.0611285,0.00120798,6.681,0.216759,0.168155,65000,70
-1.60908,-0.933851,-0.746927,-0.600623,-2.02505,-0.795738,0.00937312,0.0721315,0.00169898,6.59668,0.214279,0.16717,66000,71
-1.68598,-1.01725,-0.818246,-0.509225,-1.91174,-0.752056,0.0154946,0.0634413,8.98088e-05,6.70708,0.219409,0.166339,67000,72
-1.6912,-0.915964,-0.73405,-0.581856,-2.07087,-0.829398,0.0241321,0.0628997,0.00147202,6.74952,0.217317,0.166052,68000,72
-1.74059,-0.962236,-0.760137,-0.615823,-1.93598,-0.859238,0.0208961,0.0639916,8.47982e-05,6.57373,0.217938,0.167438,69000,73
-1.72856,-1.03953,-0.875637,-0.477468,-1.79179,-0.833786,0.0149433,0.067965,0.000692692,6.60167,0.216148,0.170029,70000,74
-1.81053,-1.03776,-0.89388,-0.499454,-1.80306,-0.794573,0.0167175,0.0694704,1.19458e-07,6.60274,0.215241,0.165967,71000,76
-1.85768,-1.14814,-0.947351,-0.379894,-1.66435,-0.770528,0.0157874,0.0629143,0.00048592,6.65002,0.215236,0.166862,72000,77
-1.75633,-1.04247,-0.847409,-0.477321,-1.76411,-0.856431,0.0214942,0.0596977,0.000181954,6.63836,0.215442,0.16756,73000,78
-1.7023,-1.01533,-0.825652,-0.557099,-1.83443,-0.867811,0.0201345,0.0593878,0.00191469,6.60278,0.216062,0.164209,74000,79
-1.68279,-0.905968,-0.74727,-0.625304,-1.96583,-0.923619,0.0197746,0.0662946,0.00121889,6.68124,0.215844,0.164801,75000,80
-1.85637,-1.12048,-0.916109,-0.431561,-1.69305,-0.787447,0.0157717,0.059152,8.38993e-05,6.74156,0.216077,0.16647,76000,81
-1.87643,-1.14496,-0.978031,-0.445505,-1.56865,-0.785214,0.0191045,0.0693465,0.00157879,6.64326,0.213348,0.168694,77000,82
-1.91034,-1.23431,-1.05376,-0.394589,-1.41218,-0.741982,0.0210899,0.0559397,0.000640503,6.68625,0.217182,0.164715,78000,83
