BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, BetaP_SE_3, BetaP_SE_4, BetaP_SE_5, BetaP_SE_6, BetaP_SE_7, rho_0,rho_1,rho_2,phi,gamma_ei,gamma_ir,Iteration,Time
-1.9105,-1.05912,-0.872633,-0.803943,-0.812061,-0.808372,-1.31562,-1.23341,0.0263641,0.0576838,0.000155051,6.70298,0.213118,0.167592,67000,73
-1.833,-1.00938,-0.818736,-0.636366,-0.974018,-0.686043,-1.72471,-0.980792,0.0224717,0.0663132,0.000760479,6.54979,0.213658,0.168065,68000,74
-1.90603,-0.912206,-0.746073,-0.787845,-1.02607,-0.820322,-1.70092,-1.20374,0.0282725,0.055883,0.00115833,6.74328,0.215034,0.168907,69000,75
-1.97675,-1.25311,-1.05339,-0.472167,-0.679403,-0.5738,-1.12131,-1.06792,0.0250816,0.0501648,9.39208e-05,6.70176,0.216009,0.166455,70000,76
-1.90817,-1.22663,-0.997217,-0.404396,-0.787695,-0.521676,-1.50911,-0.93023,0.0169769,0.0649448,0.00103138,6.7356,0.214569,0.166252,71000,78
-1.94021,-1.17348,-1.00321,-0.518077,-0.844196,-0.603681,-1.15813,-1.13231,0.0234764,0.056162,0.00454574,6.61333,0.216389,0.168232,72000,78
-2.1053,-1.2082,-1.01745,-0.470735,-0.775675,-0.615803,-1.24266,-1.09871,0.0290434,0.0756241,0.000735928,6.63346,0.216239,0.165874,73000,79
-2.13384,-1.40048,-1.18873,-0.217719,-0.67887,-0.317672,-1.10267,-0.912167,0.0248691,0.0540681,0.000983482,6.66216,0.213365,0.165828,74000,80
-2.02702,-1.28661,-1.12809,-0.408611,-0.68614,-0.474145,-1.15922,-0.930221,0.0205506,0.0561382,0.000460696,6.7681,0.212311,0.165773,75000,81
-1.99861,-1.17487,-1.0061,-0.511748,-0.706632,-0.630485,-1.31866,-1.01686,0.0219804,0.0636995,0.00167224,6.61039,0.214483,0.168323,76000,82
-1.80976,-1.18212,-0.993383,-0.52674,-0.792037,-0.531703,-1.47875,-0.980021,0.0180094,0.0625225,0.000437934,6.61448,0.210187,0.165256,77000,83
-1.78803,-1.12298,-0.941981,-0.637906,-0.805209,-0.615231,-1.6562,-0.922952,0.0209886,0.0584429,2.88997e-05,6.65643,0.215743,0.163522,78000,83
-1.62393,-1.01435,-0.830719,-0.638572,-0.930785,-0.667128,-1.90622,-0.948995,0.0160952,0.0643655,0.000744079,6.62794,0.211681,0.164687,79000,84
-1.62443,-0.936374,-0.745297,-0.73407,-0.99448,-0.758305,-1.99525,-0.995851,0.0202136,0.0477265,0.00176075,6.69873,0.213571,0.165342,80000,86
-1.68992,-1.0715,-0.863628,-0.617681,-0.965028,-0.647741,-1.64079,-1.13559,0.0206783,0.0528612,0.00389144,6.66516,0.212279,0.163852,81000,86
-1.92955,-1.27164,-1.05812,-0.534593,-0.665808,-0.551941,-1.18675,-0.995743,0.014224,0.0590059,0.00201803,6.67852,0.2168,0.164747,82000,87
-2.07551,-1.43147,-1.2318,-0.338501,-0.488766,-0.437538,-0.989659,-0.979197,0.0291037,0.0434907,0.000196943,6.68472,0.209118,0.163786,83000,88
-2.13284,-1.51941,-1.32698,-0.122769,-0.47453,-0.334398,-0.739821,-0.965661,0.0169756,0.0508289,4.77128e-05,6.68134,0.207409,0.162963,84000,89
-2.28782,-1.68643,-1.53339,-0.0962321,-0.292691,-0.229261,-0.302674,-0.97448,0.0196164,0.0512501,0.00268352,6.72088,0.210056,0.164831,85000,90
-2.35783,-1.79542,-1.62622,-0.0292414,-0.162341,-0.191368,-0.134599,-0.855107,0.0186436,0.0497319,0.00123306,6.62184,0.211372,0.16302,86000,90
-2.44752,-1.88068,-1.69217,0.134275,-0.102242,-0.157537,-0.00307318,-0.820354,0.0250981,0.050953,0.00135195,6.60765,0.213665,0.161212,87000,91
-2.3371,-1.64749,-1.4533,-0.110301,-0.308047,-0.314861,-0.475804,-0.934552,0.0196001,0.0615277,0.000113115,6.65188,0.208835,0.161843,88000,92
-2.13137,-1.42013,-1.22956,-0.291027,-0.477724,-0.553255,-0.677378,-1.13242,0.0188824,0.0584273,0.00142021,6.67965,0.21067,0.16436,89000,93
-2.26902,-1.43937,-1.26873,-0.292212,-0.508396,-0.508741,-0.595478,-1.09116,0.0300397,0.0532202,0.00138672,6.62231,0.208127,0.164379,90000,94
-2.15366,-1.50528,-1.36689,-0.279749,-0.461312,-0.414471,-0.481497,-1.13658,0.0200566,0.0607228,0.000349931,6.63335,0.211029,0.164094,91000,95
-2.26973,-1.52298,-1.36953,-0.239328,-0.479926,-0.334587,-0.513276,-1.06179,0.0262868,0.0498584,0.000241662,6.54173,0.206985,0.164047,92000,97
-2.17611,-1.5506,-1.36166,-0.219185,-0.447579,-0.347413,-0.569834,-1.01099,0.0221109,0.0491745,8.7941e-05,6.64663,0.205322,0.163179,93000,98
-2.39308,-1.71208,-1.54631,-0.134626,-0.254091,-0.298677,-0.123166,-1.02326,0.0194405,0.0593453,0.00528168,6.65917,0.208151,0.163245,94000,99
-2.45692,-1.73044,-1.55019,0.0705817,-0.322155,-0.213146,-0.255751,-0.926996,0.0235479,0.0519365,0.000479857,6.52299,0.2084,0.160159,95000,100
-2.48306,-1.82345,-1.67345,0.288164,-0.223687,-0.0324787,-0.434006,-0.656984,0.0185148,0.0563193,1.95389e-05,6.65462,0.212408,0.161831,96000,102
-2.64991,-1.96222,-1.84732,0.370716,-0.0542064,-0.00786835,0.135614,-0.765892,0.0165755,0.0590339,0.00373544,6.54887,0.207713,0.161046,97000,102
-2.70491,-2.10144,-1.93227,0.326088,0.134193,-0.0941328,0.497691,-0.838621,0.0208464,0.0578009,0.00181997,6.78727,0.208234,0.161509,98000,103
-2.65203,-1.95566,-1.82076,0.341939,-0.0721663,-0.0340654,0.0783743,-0.781711,0.0178868,0.0589344,0.00622809,6.52695,0.208262,0.158273,99000,104
-2.84249,-2.18078,-2.04689,0.420848,0.202157,0.0465815,0.654521,-0.714941,0.0266503,0.0395274,0.000319413,6.81344,0.206684,0.161189,100000,105
-2.75767,-2.05851,-1.91142,0.19761,0.122581,-0.0436995,0.376334,-0.760221,0.0228553,0.0556427,0.00117179,6.65032,0.20513,0.162257,101000,106
-2.64527,-1.96048,-1.78748,0.196292,-0.0444617,-0.138261,0.203882,-0.900329,0.022374,0.057906,0.00123423,6.62419,0.211086,0.160922,102000,107
-2.58587,-1.90211,-1.73308,0.0835765,-0.034296,-0.155298,0.0677372,-0.842673,0.0159812,0.065789,0.00228915,6.6891,0.209261,0.161868,103000,108
-2.54853,-1.80209,-1.63532,0.0352215,-0.137867,-0.138365,-0.307436,-0.739224,0.0177092,0.0655956,0.00125668,6.73701,0.208228,0.160485,104000,109
-2.45194,-1.84263,-1.68712,0.0873378,-0.145237,-0.132909,-0.220138,-0.788893,0.0220156,0.0538735,0.00544622,6.68739,0.208196,0.158785,105000,110
-2.41757,-1.63211,-1.48276,-0.106401,-0.370526,-0.329694,-0.442782,-0.954194,0.0246121,0.0626243,0.00049854,6.6232,0.209525,0.159894,106000,111
