BetaP_SE_0, BetaP_SE_1, BetaP_SE_2, rho_0,phi,gamma_ei,gamma_ir,Iteration,Time
-2.48799,-2.04083,-1.91417,0.0608453,6.64529,0.209748,0.160886,93000,91
-2.51518,-2.06873,-1.90441,0.0558961,6.6545,0.212691,0.160396,94000,92
-2.43703,-2.02588,-1.92964,0.0557491,6.67452,0.212103,0.163625,95000,94
-2.35994,-2.03996,-1.93287,0.0495424,6.6847,0.208697,0.163143,96000,95
-2.4715,-2.04663,-1.95169,0.0541363,6.69759,0.208462,0.160833,97000,96
-2.46997,-2.02334,-1.94714,0.0550857,6.63634,0.210641,0.161451,98000,97
-2.48648,-2.06445,-1.94886,0.058647,6.58528,0.206639,0.16094,99000,98
-2.44072,-2.03419,-1.91466,0.0587567,6.63636,0.209506,0.162288,100000,99
-2.49778,-2.02059,-1.92355,0.0631144,6.5955,0.208645,0.163087,101000,100
-2.45381,-2.03881,-1.9597,0.0573383,6.55097,0.20594,0.161626,102000,101
-2.56058,-2.02557,-1.94657,0.0633027,6.69863,0.209945,0.161235,103000,102
-2.47227,-2.03454,-1.94472,0.0587564,6.65178,0.209646,0.162901,104000,103
-2.54765,-2.03131,-1.91949,0.0620545,6.58844,0.208541,0.162309,105000,103
-2.53311,-2.05455,-1.99922,0.0675783,6.69165,0.20883,0.157788,106000,104
-2.47347,-2.02643,-1.95006,0.0563822,6.61134,0.210557,0.16141,107000,105
-2.40621,-2.03148,-1.95167,0.0548479,6.67381,0.204391,0.16218,108000,106
-2.4556,-2.05216,-1.96119,0.0544163,6.68665,0.207733,0.159563,109000,107
-2.45575,-2.05071,-1.95078,0.0585163,6.60059,0.208563,0.158729,110000,109
-2.45801,-2.0698,-1.95828,0.0572959,6.71487,0.209512,0.160718,111000,109
-2.56265,-2.05195,-1.96015,0.0606925,6.66404,0.207884,0.158634,112000,110
-2.55604,-2.05714,-1.99009,0.0640201,6.64856,0.211951,0.161436,113000,111
-2.51395,-2.05552,-1.96364,0.0608202,6.65842,0.208884,0.158722,114000,111
-2.38914,-2.06117,-1.92238,0.0503812,6.66155,0.206728,0.160215,115000,112
-2.46557,-2.04073,-1.9673,0.0580835,6.70337,0.20897,0.160204,116000,113
-2.50555,-2.07834,-1.95837,0.0583477,6.64726,0.206571,0.158344,117000,114
-2.45948,-2.04996,-1.94707,0.057797,6.72597,0.20317,0.160461,118000,114
-2.47896,-2.07138,-1.95588,0.0529638,6.67472,0.207883,0.157199,119000,115
-2.41487,-2.04522,-1.95916,0.0610476,6.57825,0.20513,0.161076,120000,116
-2.53547,-2.04902,-1.93127,0.062769,6.5998,0.207581,0.158279,121000,119
-2.46452,-2.04207,-1.93004,0.0502685,6.66271,0.206471,0.157316,122000,122
-2.45959,-2.06451,-1.93338,0.0539777,6.74559,0.20657,0.15861,123000,125
-2.54113,-2.10053,-1.99007,0.064465,6.75298,0.208089,0.152204,124000,128
-2.42309,-2.08025,-1.90875,0.0575123,6.71789,0.204649,0.157872,125000,131
-2.44162,-2.11081,-1.94817,0.0596606,6.65685,0.202639,0.154485,126000,135
-2.49822,-2.09288,-1.96088,0.0520635,6.69489,0.205504,0.151712,127000,138
-2.55604,-2.07649,-1.94216,0.0610777,6.73842,0.205425,0.154898,128000,141
-2.53309,-2.0816,-1.933,0.0600977,6.67758,0.2023,0.159214,129000,144
-2.44769,-2.09807,-1.96574,0.0543171,6.66539,0.201895,0.155512,130000,147
-2.42723,-2.07996,-1.95805,0.057606,6.85103,0.206818,0.156016,131000,151
-2.5641,-2.07055,-1.96513,0.0622071,6.75755,0.202324,0.153884,132000,154
-2.5322,-2.07976,-1.97798,0.061144,6.61653,0.205457,0.155324,133000,157
-2.40772,-2.06803,-1.92616,0.0540316,6.69089,0.206322,0.159064,134000,160
-2.48097,-2.07147,-1.94054,0.0518552,6.71298,0.202755,0.153275,135000,163
-2.46217,-2.07491,-1.95841,0.0580113,6.6232,0.202549,0.156275,136000,166
-2.42959,-2.08758,-1.9404,0.0556124,6.66726,0.199434,0.153278,137000,168
-2.45612,-2.10321,-1.98691,0.0550351,6.73709,0.20532,0.156691,138000,171
-2.50766,-2.0831,-1.94539,0.0550889,6.58657,0.20397,0.154463,139000,174
-2.51127,-2.09004,-1.94832,0.060003,6.67149,0.202746,0.152346,140000,177
-2.56729,-2.08419,-1.97081,0.062327,6.68953,0.207224,0.152925,141000,179
